Identifiant de l'équipement,Equipement,Code thème,Thème,Code catégorie,Catégorie,Code type,Type,Statut,Commune,Adresse,Téléphone,Web,Code postal,latitude,longitude
11,Bibliothèque Breil Malville,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,37B Rue des Plantes,,,44100,47.233034852,-1.58610757767
1121,Musée d'Histoire de Nantes - Château des Ducs de Bretagne,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44000,47.2160563713,-1.55001052667
127,Musée Thomas-Dobrée,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44000,47.2126357915,-1.56657546124
1448,Bibliothèque Espace Vittoria Clos Toreau,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,Place du Pays Basque,,,44200,47.1945427343,-1.5282554628
147,Pigeonnier Nantes,1,CULTURE,104,Monument,,,Non renseigné,NANTES,4 Place Vincent Auriol,,,44100,47.2219422318,-1.59276495659
17,Médiathèque Espace Jacques Demy,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,NANTES,24 Quai de la Fosse,,,44000,47.2111500154,-1.5621552251
1809,Bibliothèque Paul Eluard,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Associatif,,,,,44800,47.2341388754,-1.58560852342
2376,Château de La Sénaigerie,1,CULTURE,101,Musée, Château,10101,Château,Privé,BOUAYE,Rue de la Sénaigerie,,44830,47.1357846414,-1.679597149
2458,Le Haut Moulin Saint léger les Vignes,1,CULTURE,104,Monument,,,Non renseigné,SAINT-LEGER-LES-VIGNES,16 Rue de Nantes,,,44710,47.1360737339,-1.72701145972
2495,Maison des Arts,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,,,,,44640,47.2022146981,-1.75525575894
2522,Médiathèque Yves et Raymond Gaudin,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,,,,,44620,47.1915905352,-1.68511274103
2525,Maison de la Musique La Montagne,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,,,,,44620,47.191336165,-1.68500165785
2611,Château de La Poterie,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Rue de Cotalard,,44240,47.2833984227,-1.53008390289
2628,Centre d'Expression et de Créativité du Moulin Gautron,1,CULTURE,107,Salle de spectacle,,,Non renseigné,VERTOU,9 Rue de l'Industrie,,,44120,47.1664653662,-1.48222765941
2732,Bibliothèque de la Chapelaine,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44240,47.3012762045,-1.54838383109
2733,Bibliothèque Municipale,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,LA-CHAPELLE-SUR-ERDRE,4 Place Dominique Savelli,,,44240,47.2959223408,-1.55035602342
2743,Bibliothèque Brains,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,BRAINS,1 Rue des Clos Mâts,,,44830,47.168249458,-1.72057629377
3162,Espace Culturel et de Congrès de La Fleuriaye,1,CULTURE,107,Salle de spectacle,,,Public,CARQUEFOU,Boulevard Ampère,,,44470,47.2997932173,-1.50124665779
3266,Théâtre Municipal de Rezé,1,CULTURE,107,Salle de spectacle,,,Non renseigné,REZE,Rue Guy Le Lan,,,44400,47.1866058455,-1.54533047982
3437,Centre Culturel de la Gobinière - Théâtre de la Gobinière,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44700,47.2494127404,-1.58553837521
3580,Le Cabanier Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,6 Rue Ameline,,,44000,47.2288539743,-1.55831454745
4092,Galerie RDV,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44000,47.2171629425,-1.54580104059
4094,La Scène Michelet,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44000,47.2328598142,-1.55689374333
4148,Bibliothèque Expression Livre,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44200,47.1924303278,-1.53380882266
4189,Chateau de la Sauvagerie,1,CULTURE,104,Monument,,,Non renseigné,BRAINS,Voie Non Dénommée 0240907,,,44830,47.1649948516,-1.71623466517
4256,Ecole de Musique,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,SAUTRON,25 Rue de la Forêt,,,44880,47.2652977448,-1.68046873295
4844,Espace d'exposition les Renaudières,1,CULTURE,106,Salle d'exposition,,,Public,CARQUEFOU,Allée des Renaudières,,,44470,47.3001520581,-1.51323387471
4920,Salle des macres,1,CULTURE,107,Salle de spectacle,,,Non renseigné,BOUAYE,Rue du Stade,,,44830,47.1504258853,-1.69585771655
941,Ludothèque Boissière,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,,,,,44300,47.2543883025,-1.5672405022
944,Ludothèque Clos Toreau,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,NANTES,4 Place du Muguet Nantais,,,44200,47.1943842628,-1.52812787274
130,Musée d'arts de Nantes,1,CULTURE,101,Musée, Château,10102,Musée,Municipal,NANTES,10 Rue Georges Clemenceau,,44000,47.2195914348,-1.54738925873
1332,Studio Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,5 Rue du Ballet,,,44000,47.2310612012,-1.55792727015
141,Théâtre Graslin,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,1T Place Graslin,,,44000,47.213438333,-1.56222079757
1413,Château de Procé,1,CULTURE,104,Monument,,,Non renseigné,NANTES,44 Rue des Dervallières,,,44000,47.2232389031,-1.58091314716
145,La Fabrique Chantenay-Bellevue,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,30 Boulevard de la Liberté,,,44100,47.1996251928,-1.58882874362
1456,Bibliothèque pour Tous Cacault,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44000,47.2166287905,-1.55775635876
146,Planétarium,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,,,,44100,47.2022418574,-1.57750491244
162,Espace Culturel Bréchoir,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,1 Rue Jules Bréchoir,,,44000,47.225298338,-1.52299624536
1829,Bibliothèque Bourg,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Public,ST-HERBLAIN,126 Boulevard François Mitterrand,,,44800,47.2131452764,-1.648929038
1911,Cinéma Pathé Atlantis,1,CULTURE,108,Cinéma,,,Privé,ST-HERBLAIN,Allée la Pérouse,,,44800,47.2224263352,-1.62882299984
1912,Cinéma UGC Ciné Cité Atlantis,1,CULTURE,108,Cinéma,,,Privé,ST-HERBLAIN,Place Jean Bart,,,44800,47.2237355945,-1.62745928621
2118,Ludothèque de la Bernardière,1,CULTURE,103,Médiathèque,10302,Ludothèque,Public,ST-HERBLAIN,11 Rue de Dijon,,,44800,47.2061235854,-1.61536244688
2318,Musée de la Poste,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,NANTES,2B Rue Président Edouard Herriot,,44000,47.2182559926,-1.55932815879
2379,Château de l'Epinay,1,CULTURE,101,Musée, Château,10101,Château,Privé,CARQUEFOU,Boulevard de l'Epinay,,44470,47.2877416951,-1.49032051881
2481,Théâtre Boris Vian,1,CULTURE,107,Salle de spectacle,,,Non renseigné,COUERON,Rue Jean Rostand,,,44220,47.2160486626,-1.73080571991
2582,Maison de la Musique Sinfonia,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,SAINTE-LUCE-SUR-LOIRE,Allée des Arts,,,44980,47.2470474606,-1.4845517087
2710,Libre Cour,1,CULTURE,103,Médiathèque,,10303,Médiathèque,Non renseigné,VERTOU,Rue Henri Charpentier,,44120,47.1688730867,-1.47161090176
3020,Théâtre du Sphinx,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44000,47.2136054977,-1.54791690541
3048,Espace Phelippes Beaulieux,1,CULTURE,107,Salle de spectacle,,,Non renseigné,SAUTRON,21 Rue de la Forêt,,,44880,47.2650685432,-1.67837708179
3159,Cinéma Vaillant,1,CULTURE,108,Cinéma,,,Non renseigné,VERTOU,12 Rue du Général De Gaulle,,,44120,47.1672461407,-1.46961964334
3235,Cinéma Saint Paul,1,CULTURE,108,Cinéma,,,Non renseigné,,,,,44400,47.1839198509,-1.54454650436
3579,Le Labo 188,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,NANTES,Rue des Carnavaliers,,,44300,47.2367179607,-1.51439561788
3616,Zénith de Nantes Métropole,1,CULTURE,107,Salle de spectacle,,,Non renseigné,ST-HERBLAIN,Boulevard du Zénith,,,44800,47.2286969926,-1.62799174375
3657,Médiathèque Est Floresca Guépin,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,NANTES,15 Rue de la Haluchère,,,44300,47.240830971,-1.51280146765
3786,Bibliothèque annexe de Beautour,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,VERTOU,Place de la Poste,,,44120,47.1842500759,-1.50517368425
4090,La Compagnie du Café Théâtre,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44000,47.2165298072,-1.55137147028
4190,Chateau Le Plessis,1,CULTURE,104,Monument,,,Non renseigné,BRAINS,Voie Non Dénommée 0240909,,,44830,47.1624024575,-1.72072438019
4191,Chateau de la Guerche,1,CULTURE,104,Monument,,,Non renseigné,BRAINS,Rue de la Guerche,,,44830,47.168116442,-1.73017757832
4305,Manoir des Renaudières,1,CULTURE,106,Salle d'exposition,,,Public,CARQUEFOU,Allée des Renaudières,,,44470,47.3002235091,-1.51352460234
4475,Château de Praud,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,REZE,Rue Konrad Adenauer,,44400,47.1683934197,-1.54818124486
4581,Mémorial de l'Abolition de l'Esclavage,1,CULTURE,101,Musée, Château,10102,Musée,Non renseigné,NANTES,Quai de la Fosse,,44000,47.209459254,-1.56458520111
4969,Le Chronographe,1,CULTURE,101,Musée, Château,10102,Musée,Public,,,,44400,47.1918650792,-1.56479795145
5116,Gare d'Anjou,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44230,47.2059319221,-1.50564152918
123,Manoir de La Hautière,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,,,,44100,47.2029654459,-1.58279541896
135,Le Grand T,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,84 Rue Général Buat,,,44000,47.2307905351,-1.54069328356
1433,Espace Cosmopolis Nantes,1,CULTURE,106,Salle d'exposition,0,,Non renseigné,NANTES,18 Rue Scribe,,,44000,47.2144037562,-1.5623519341
2091,Cinéma Le Beaulieu,1,CULTURE,108,Cinéma,,,Public,BOUGUENAIS,26 Rue de Beaulieu,,,44340,47.1784208637,-1.62520552586
2092,Piano'cktail,1,CULTURE,107,Salle de spectacle,,,Public,BOUGUENAIS,Rue Ginsheim Gustavsburg,,,44340,47.1739079858,-1.60671856087
2125,Maison des Arts - Ecole de Musique,1,CULTURE,105,Ecole Culturelle,,,Municipal,,,,,44800,47.2121086878,-1.6147337789
2389,Le Grand Calvaire Orvault,1,CULTURE,104,Monument,,,Non renseigné,ORVAULT,Rue Hubert De la Brosse,,,44700,47.2719783533,-1.62034778636
2398,Ecluse sur l'Acheneau Bouaye,1,CULTURE,104,Monument,,,Non renseigné,BOUAYE,VM 264,,,44830,47.1325149399,-1.69837255665
2553,Bibliothèque Mauves sur Loire,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,MAUVES-SUR-LOIRE,15 Rue du Cellier,,,44470,47.2970772767,-1.3925876738
2629,Pont Métallique de Mauves sur Loire,1,CULTURE,104,Monument,,,Non renseigné,MAUVES-SUR-LOIRE,Pont de Mauves-sur-Loire,,,44470,47.29416327,-1.38298815303
2738,Médiathèque Espace Diderot,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,,,,,44400,47.1838671785,-1.56256093266
3152,Halle de La Trocardière,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44400,47.1814882101,-1.57240929148
3229,Médiathèque Charles Gautier-Hermeland,1,CULTURE,103,Médiathèque,10303,Médiathèque,Public,ST-HERBLAIN,Rue François Rabelais,,,44800,47.2310356287,-1.6164229986
3325,Ecole de Musique et de Danse,1,CULTURE,105,Ecole Culturelle,,,Public,,,,,44120,47.1686879741,-1.47248061327
3347,Ludothèque La Fontaine,1,CULTURE,103,Médiathèque,10302,Ludothèque,Public,ST-SEBASTIEN,11 Rue du Languedoc,,,44230,47.203839425,-1.48794365851
3396,Pôle Musical,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,LA-CHAPELLE-SUR-ERDRE,Chemin de Roche Blanche,,,44240,47.2793768164,-1.5574854189
3455,Ecluse Barrage de Buzay,1,CULTURE,104,Monument,,,Non renseigné,LE-PELLERIN,Voie Non Dénommée 1201725,,,44640,47.2102559253,-1.82703332538
3610,Médiathèque René Goscinny,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,SAINTE-LUCE-SUR-LOIRE,Esplanade Pierre Brasselet,,,44980,47.2480435713,-1.48246034504
4054,Théâtre Francine Vasse,1,CULTURE,107,Salle de spectacle,,,Non renseigné,,,,,44000,47.2156279882,-1.5689361327
4091,Galerie Confluence,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44000,47.2170136336,-1.54679501726
4093,Galerie le Rayon Vert,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,1 Rue Sainte Marthe,,,44100,47.2026719147,-1.5797961889
4158,Ludothèque de la Haute Chaussée,1,CULTURE,103,Médiathèque,10302,Ludothèque,Municipal,ST-HERBLAIN,Placis George Sand,,,44800,47.2059753039,-1.66301900224
4243,La Chaussée des Moines,1,CULTURE,104,Monument,,,Non renseigné,VERTOU,Quai de la Chaussée des Moines,,,44120,47.1672029627,-1.48113947285
4329,Château de la Gobinière,1,CULTURE,106,Salle d'exposition,,,Non renseigné,,,,,44700,47.2492133328,-1.58465085848
4403,La Machinerie,1,CULTURE,104,Monument,,,Non renseigné,LE-PELLERIN,57 Rue du Canal,,,44640,47.2079795355,-1.78389479868
4459,Château de la Seilleraye,1,CULTURE,101,Musée, Château,10101,Château,Privé,CARQUEFOU,Chemin de Gaubert,,44470,47.2995253543,-1.42052761126
4513,Le Chapidock - école des arts du cirque,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,NANTES,60 Quai Président Wilson,,,44200,47.2001065418,-1.57132503641
5079,Le miroir d'eau,1,CULTURE,104,Monument,,,Public,NANTES,Cours John Kennedy,,,44000,47.2150576441,-1.54895952999
5360,Centre Culturel Franco-Espagnol,1,CULTURE,107,Salle de spectacle,,,,NANTES,92 Boulevard de la Prairie au Duc,,,44200,47.2039730765,-1.56893480229
766,Théâtre de Poche Graslin - TPG,1,CULTURE,107,Salle de spectacle,0,,Non renseigné,NANTES,5 Rue Lekain,,,44000,47.2144961663,-1.5629510059
767,Théâtre Universitaire Nantes,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,11 Chemin de la Censive du Tertre,,,44300,47.2456250065,-1.55350937161
1247,Le Lieu Unique Nantes,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,Quai Ferdinand Favre,,,44000,47.2152661555,-1.54566621725
1251,Salle d'Expositions Château de Procé,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,44 Rue des Dervallières,,,44000,47.2232961348,-1.58125395047
128,Muséum d'Histoire Naturelle,1,CULTURE,101,Musée, Château,10102,Musée,Municipal,NANTES,12 Rue Voltaire,,44000,47.2126627123,-1.56483324266
131,Château des Ducs de Bretagne,1,CULTURE,104,Monument,,,Non renseigné,,,,,44000,47.2162653358,-1.54877066641
1450,Bibliothèque-Ludothèque Bout des Pavés,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44300,47.26006503,-1.57649855563
149,Monument aux Fusillés,1,CULTURE,104,Monument,,,Non renseigné,,,,,44300,47.2605733711,-1.51246735794
157,Cité internationale des Congrès,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,5 Rue de Valmy,,,44000,47.2127669434,-1.54361241809
16,Bibliothèque de la Manufacture,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44000,47.2199674723,-1.53621501889
1792,Centre Culturel  Européen,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,90 Boulevard de la Prairie au Duc,,,44200,47.204018784,-1.56847724079
2090,Médiathèque Condorcet,1,CULTURE,103,Médiathèque,10303,Médiathèque,Public,BOUGUENAIS,Square Pablo Neruda,,,44340,47.1704056799,-1.62227290381
2320,Fonds Régional d'Art Contemporain des Pays de la Loire,1,CULTURE,106,Salle d'exposition,,,Région,CARQUEFOU,Boulevard Ampère,,,44470,47.3003926347,-1.504202425
2593,Manoir de La Bégraisière,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,ST-HERBLAIN,Rue François Rabelais,,44800,47.2318249148,-1.61472310413
2639,Château de Maubreuil,1,CULTURE,101,Musée, Château,10101,Château,Non renseigné,CARQUEFOU,Chemin des Gruellières,,44470,47.2972726,-1.4652176047
2705,Bibliothèque Sorinières,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,,,,,44840,47.1498501465,-1.52713238108
2722,Bibliothèque Indre,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,INDRE,2 Rue du Stade,,,44610,47.200430494,-1.67165687314
3030,Ludothèque René Goscinny,1,CULTURE,103,Médiathèque,10302,Ludothèque,Non renseigné,SAINTE-LUCE-SUR-LOIRE,Esplanade Pierre Brasselet,,,44980,47.2481641186,-1.4820646184
3067,Bibliothèque Nationale de Bretagne Ker Arvor,1,CULTURE,103,Médiathèque,10301,Bibliothèque,Non renseigné,NANTES,15 Avenue Chanzy,,,44000,47.2249564557,-1.54750791035
3166,Centre Musical de La Balinière,1,CULTURE,107,Salle de spectacle,,,Non renseigné,REZE,24 Rue de la Balinière,,,44400,47.1832100139,-1.5526682313
3348,Maison de l'Enfance - Ludothèque Carquefou,1,CULTURE,103,Médiathèque,10302,Ludothèque,Public,CARQUEFOU,Avenue des Argonautes,,,44470,47.2975748123,-1.48477963034
3383,Ecole de Musique Point d'orgue,1,CULTURE,105,Ecole Culturelle,,,Public,BASSE-GOULAINE,Square de Theley,,,44115,47.2183942231,-1.46393073998
3992,Les Nefs des Machines de l'Île,1,CULTURE,107,Salle de spectacle,,,Non renseigné,NANTES,Boulevard Léon Bureau,,,44200,47.2061466357,-1.56450198054
4007,Médiathèque du Conservatoire,1,CULTURE,103,Médiathèque,10303,Médiathèque,Non renseigné,,,,,44200,47.2080385843,-1.53266540143
4095,Zoo Galerie,1,CULTURE,106,Salle d'exposition,,,Non renseigné,NANTES,49 Chaussée de la Madeleine,,,44000,47.2092851993,-1.55006790517
4174,Ecole de Musique Notes En Stock,1,CULTURE,105,Ecole Culturelle,,,Non renseigné,LES-SORINIERES,Rue Hippolyte Derouet,,,44840,47.1477362148,-1.52330418577
4199,Le Pavillon du Bois de la Noë,1,CULTURE,104,Monument,,,Non renseigné,BOUAYE,Rue de Nantes,,,44830,47.1429966158,-1.67792494318
4458,Château de La Couronnerie,1,CULTURE,101,Musée, Château,10101,Château,Privé,CARQUEFOU,Allée de la Couronnerie,,44470,47.3116633215,-1.52579559662
4964,Auditorium,1,CULTURE,107,Salle de spectacle,,,Non renseigné,REZE,Avenue de Bretagne,,,44400,47.1855946794,-1.55487924788
5361,Centre Culturel Franco-Italien (CCFI),1,CULTURE,107,Salle de spectacle,,,,NANTES,90 Boulevard de la Prairie au Duc,,,44200,47.2040269729,-1.56839628025
