Identifiant,Nom,Type,Adresse,Code postal,Commune,latitude,longitude,Accès transports en commun,Informations complémentaires,Gardien,Jeux pour enfants,Pataugeoire,Sanitaires,Sanitaires pour handicapés,Chiens autorisés,Jardin clos,Abris,Point d'eau,Table pique-nique,,,,,,,,
4594,Square Proust Bergson,Parc,Rue Henri Bergson,44300,Nantes,47.254384826,-1.570838214,http://www.jardins.nantes.fr,Ligne C2 Bout des Pavés,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4587,Square Félix Thomas,Parc,Rue Toulmouche,44000,Nantes,47.230985553,-1.553230918,http://www.jardins.nantes.fr,Ligne 2 St Félix,,NON,OUI,NON,NON,OUI,NON,OUI,NON,NON,NON,,,,,,,
4591,Square Saint François,Parc,Rue Saint François,44000,Nantes,47.218214628,-1.545475581,http://www.jardins.nantes.fr,Duchesse Anne-Chateau Ligne 1,,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,NON,,,,,,,
3213,Square Louis Bureau,Parc,Place de la Monnaie,44000,Nantes,47.213007594,-1.565112171,http://www.jardins.nantes.fr,Ligne C3 Copernic,,NON,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
3222,Square Jules Bréchoir,Parc,Rue Jules Bréchoir,44000,Nantes,47.225246573,-1.522567572,http://www.jardins.nantes.fr,Toutes Aides 58 A 75 82 92 - Bd de Doulon Ligne 1,,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,,,,,,,
4087,Parc de l'Amande,Parc,Rue Eugène Thomas,44300,Nantes,47.262856242,-1.570989823,,,,,,,,,,,,,,,,,,,,
4578,Square Jean Heurtin,Parc,Square Jean Heurtin,44000,Nantes,47.214941161,-1.544728149,http://www.jardins.nantes.fr,Ligne 1 Duchesse Anne Château ou ligne C3 Lieu Unique,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4586,Square Saint Pasquier,Parc,Place Emile Fritsch,44000,Nantes,47.228755748,-1.566077293,http://www.jardins.nantes.fr,Ligne C2 Le Goffic,,NON,NON,NON,OUI,OUI,OUI,NON,NON,NON,NON,,,,,,,
1020,Parc du Grand Blottereau,Parc,Boulevard Auguste Péneau,44300,Nantes,47.228394783,-1.510025785,http://www.jardins.nantes.fr,Tramway Ligne 1 ou bus lignes 12 58 75 82 92,Canna, plantes tropicales,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,
1521,Square du Maquis de Saffré,Parc,Rue Sully,44000,Nantes,47.222259455,-1.552084829,http://www.jardins.nantes.fr,Ligne 2 Saint Mihiel,,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4787,Jardin des 5 sens,Parc,Rue Gaëtan Rondeau,44200,Nantes,47.207163534,-1.533640326,http://www.jardins.nantes.fr,Ligne 1 Duchesse anne château / Ligne 4 Ile de Nantes,,NON,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,NON,,,,,,,
4595,Parc du Petit Port,Parc,Boulevard des Tribunes,44300,Nantes,47.245503012,-1.558412555,http://www.jardins.nantes.fr,Ligne C2 Pont du Cens ; Ligne 25 Hippodrome,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,OUI,,,,,,,
1017,Parc de la Chantrerie,Parc,95 Route de Gachet,44300,Nantes,47.286413177,-1.524379919,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 Grandes Ecoles,,NON,OUI,NON,OUI,OUI,OUI,NON,OUI,NON,OUI,,,,,,,
1598,Square des Martyrs Irlandais,Parc,Rue de l'Adour,44100,Nantes,47.207947861,-1.610185329,http://www.jardins.nantes.fr,Romain Rolland Ligne 1,,NON,OUI,NON,NON,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
4603,Jardin des Farfadets,Parc,Allée de Portricq,44300,Nantes,47.26691362,-1.521506652,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 Portricq,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4418,Jardin Mabon,Parc,Quai François Mitterrand,44200,Nantes,47.207524454,-1.559628221,http://www.jardins.nantes.fr,Ligne 1 Chantiers Navals,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,OUI,,,,,,,
3209,Belvédère Sainte Anne,Parc,Rue de l'Hermitage,44100,Nantes,47.201451818,-1.57758802,,,,,,,,,,,,,,,,,,,,
1344,Parc de la Boucardière,Parc,54 Rue de l'Abbaye,44100,Nantes,47.201152748,-1.597659156,http://www.jardins.nantes.fr,Bois Hardy Ligne 25 Gare de chantenay Ligne 81,,NON,OUI,NON,NON,NON,OUI,OUI,NON,OUI,NON,,,,,,,
3217,Square Gustave Roch,Parc,22 Boulevard Gustave Roch,44200,Nantes,47.205091544,-1.54996601,http://www.jardins.nantes.fr,Wattignies Lignes 2 ; 3,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1513,Square Amiral Halgand,Parc,Place de l'Hôtel de Ville,44000,Nantes,47.217388806,-1.554488382,http://www.jardins.nantes.fr,Hôtel de Ville Lignes 11 12 21 22 23 C LU,,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,,,,,,,
4506,Square Louis Feuillade,Parc,Rue Jacques Feyder,44100,Nantes,47.230433767,-1.585486985,http://www.jardins.nantes.fr,Ligne 54 Petit Carcouet,,NON,OUI,OUI,OUI,NON,NON,OUI,NON,NON,NON,,,,,,,
155,Square Ile de Versailles,Parc,Quai Henri Barbusse,44000,Nantes,47.226122945,-1.554328902,http://www.jardins.nantes.fr,Saint Mihiel Ligne 2,,NON,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,,,,,,,
4593,Square de la Place Basse Mar,Parc,Place de la Basse Mar,44200,Nantes,47.208045371,-1.525271329,http://www.jardins.nantes.fr,Pompidou 24 52 B Bus C5,,NON,OUI,OUI,NON,OUI,OUI,OUI,NON,NON,NON,,,,,,,
4583,Square Marcel Moisan,Parc,Rue de l'Hermitage,44100,Nantes,47.20208672,-1.577317523,http://www.jardins.nantes.fr,Lechat Ligne 21 H,,NON,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,,,,,,,
1518,Square Commandant Lacroix,Parc,Rue de l'Hermitage,44100,Nantes,47.203462372,-1.575919107,http://www.jardins.nantes.fr,,,,,,,,,,,,,,,,,,,
2641,Square des Maraîchés,Parc,Rue de la Haluchère,44300,Nantes,47.246274624,-1.516323123,http://www.jardins.nantes.fr,Ligne 1 Pin Sec,,NON,OUI,NON,NON,OUI,NON,OUI,OUI,OUI,NON,,,,,,,
1508,Jardin d'Enfants de Procé,Parc,Rue des Dervallières,44100,Nantes,47.222289579,-1.581562071,http://www.jardins.nantes.fr,Ligne C3 Procé,,OUI,OUI,OUI,OUI,NON,NON,OUI,NON,OUI,NON,,,,,,,
4599,Place de la Guirouée,Parc,Place de la Guiroué,44200,Nantes,47.208472088,-1.527572163,http://www.jardins.nantes.fr,Ligne C2 ou ligne 2 Place du Cirque,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1523,Square Jean-Baptiste Barre,Parc,Rue Jean Baptiste Barré,44000,Nantes,47.222746897,-1.52754388,http://www.jardins.nantes.fr,Ligne 1 Hopital Bellier,,NON,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,,,,,,,
1527,Square Jean-Baptiste Daviais,Parc,Place de la Petite Hollande,44000,Nantes,47.211902417,-1.557917257,http://www.jardins.nantes.fr,Commerce Lignes 11 32 51 52 54 CDB,,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1512,Square de la Marseillaise,Parc,47 Rue du Bois Hercé,44100,Nantes,47.207832925,-1.592349755,http://www.jardins.nantes.fr,Marseillaise Ligne 11 ou Ligne 1 Egalité,,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4590,Parc Pablo Picasso,Parc,Mail Pablo Picasso,44000,Nantes,47.215031421,-1.536421603,http://www.jardins.nantes.fr,Ligne C3 Picasso,,NON,OUI,NON,NON,OUI,OUI,OUI,NON,NON,OUI,,,,,,,
4417,Square de Bollardière Pitre de Lisle,Parc,Rue du Général de Bollardière,44200,Nantes,47.209304184,-1.529471963,,,,,,,,,,,,,,,,,,,,
1526,Square Gaston Michel,Parc,Boulevard des Américains,44300,Nantes,47.234966359,-1.571503644,http://www.jardins.nantes.fr,Américains Ligne C2,,NON,OUI,NON,NON,NON,NON,OUI,NON,NON,NON,,,,,,,
4606,Jardin du Zenith,Parc,Rue Tristan Corbière,44300,Nantes,47.268808315,-1.516828004,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4600,Aire du Stade de la Beaujoire,Parc,Route de Saint Joseph,44300,Nantes,47.257841779,-1.524953085,http://www.jardins.nantes.fr,Beaujoire Ligne 1,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
1534,Square Villebois Mareuil,Parc,Allée de la Bourse,44000,Nantes,47.212417092,-1.558971994,http://www.jardins.nantes.fr,,,,,,,,,,,,,,,,,,,
3208,Square Charles Housset,Parc,Rue Charles Housset,44100,Nantes,47.202643938,-1.608377624,http://www.jardins.nantes.fr,Ligne 1 Lauriers,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4592,Square Pilotière,Parc,Boulevard de la Pilotière,44300,Nantes,47.244991512,-1.524731903,http://www.jardins.nantes.fr,Ligne 11 Dunant,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1026,Parc du Plessis Tison,Parc,1 Boulevard Jules Verne,44300,Nantes,47.23506576,-1.536147076,http://www.jardins.nantes.fr,Ligne C2 Place du cirque/ Ligne C1 Rond point de paris,,OUI,OUI,OUI,OUI,OUI,NON,OUI,NON,NON,OUI,,,,,,,
4589,Square de Hongrie,Parc,Rue de Chypre,44000,Nantes,47.216227353,-1.52397103,http://www.jardins.nantes.fr,Ligne C3 Hongrie,,,,,,,,,,,,,,,,,,
3224,Square du Vieux Parc de Sèvres,Parc,Bas Chemin de Vertou,44200,Nantes,47.182975944,-1.519982263,http://www.jardins.nantes.fr,Ligne 1 Duchenne Anne-Chateau / Ligne 4 Bourdonnière,,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
1506,Parc des Capucins,Parc,Rue Noire,44000,Nantes,47.225293641,-1.562996681,http://www.jardins.nantes.fr,Poitou Ligne 3 ou Ligne C2 Brunneau,,NON,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
1499,Square Jean Le Gigant,Parc,40 Rue Maurice Terrien,44100,Nantes,47.204126652,-1.593135984,http://www.jardins.nantes.fr,Cabrol Ligne 70,,NON,OUI,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,,,,,,,
4601,Espace de jeux de Belle Ile,Parc,Rue de Coetquelfen,44300,Nantes,47.245005506,-1.541810063,http://www.jardins.nantes.fr,Ligne 2 Michelet / Ligne 23 Bonneville,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,OUI,,,,,,,
3216,Square Eglise de La Madeleine,Parc,Boulevard Gustave Roch,44200,Nantes,47.205152581,-1.548690025,http://www.jardins.nantes.fr,,,,,,,,,,,,,,,,,,,
4580,Square Psalette,Parc,Impasse Saint Laurent,44000,Nantes,47.217791038,-1.549939394,http://www.jardins.nantes.fr,Ligne C2 Cirque Marais + Ligne 12 Saint Pierre,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1522,Square Edit de Nantes,Parc,Place de l'Edit de Nantes,44100,Nantes,47.214353637,-1.567765124,http://www.jardins.nantes.fr,Edit de Nantes Lignes 21 23 24 56 H,,NON,OUI,NON,NON,NON,OUI,OUI,NON,OUI,NON,,,,,,,
1524,Square Etienne Destranges,Parc,Place Edouard Normand,44000,Nantes,47.21919126,-1.563760056,http://www.jardins.nantes.fr,Jean Jaurès Ligne 3,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4579,Square du Lait de Mai,Parc,Passage Berthault,44000,Nantes,47.212117288,-1.548363523,http://www.jardins.nantes.fr,Ligne 2 Aimé Delrue,,NON,OUI,NON,NON,OUI,NON,OUI,NON,OUI,NON,,,,,,,
3210,Square de la Halvêque,Parc,Rue Léon Serpollet,44300,Nantes,47.254476774,-1.520812473,http://www.jardins.nantes.fr,Ligne 1 Halvêque,,NON,OUI,OUI,NON,OUI,OUI,NON,NON,NON,OUI,,,,,,,
1519,Square Washington,Parc,Boulevard des Américains,44300,Nantes,47.233218794,-1.574376828,http://www.jardins.nantes.fr,,,,,,,,,,,,,,,,,,,
1515,Square Bénoni Goulin,Parc,Rue du Scorff,44200,Nantes,47.20215614,-1.551546408,http://www.jardins.nantes.fr,MIN Ligne 26,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4604,Jardin du Nadir,Parc,Rue du Nadir,44300,Nantes,47.267014768,-1.518965824,http://www.jardins.nantes.fr,Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
1550,Parc de la Moutonnerie,Parc,Rue Francisco Ferrer,44000,Nantes,47.221160887,-1.533067949,http://www.jardins.nantes.fr,Ligne 1 Moutonnerie,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4577,Square Gabriel Chéreau,Parc,Rue d'Ancin,44000,Nantes,47.211108562,-1.562786666,http://www.jardins.nantes.fr,Ligne 1 Médiathèque,,NON,OUI,NON,NON,NON,OUI,OUI,NON,OUI,NON,,,,,,,
1533,Square Vertais,Parc,Rue Petite Biesse,44200,Nantes,47.202467919,-1.54658165,http://www.jardins.nantes.fr,Mangin 2 3 - Bourgault Ducou 42 B - bus C5 vincent gâche,,NON,OUI,NON,OUI,OUI,OUI,NON,NON,OUI,OUI,,,,,,,
1022,Parc de la Noé Mitrie,Parc,Boulevard de Doulon,44000,Nantes,47.227481012,-1.526575092,http://www.jardins.nantes.fr,Mitrie Ligne 11,,NON,OUI,OUI,OUI,NON,NON,OUI,NON,OUI,NON,,,,,,,
1532,Square Toussaint Louverture,Parc,Rue des Usines,44100,Nantes,47.194884884,-1.616115737,http://www.jardins.nantes.fr,Ligne 1 gare maritime / Ligne E1 Gare de Chantenay,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4598,Place Wattignies,Parc,Rue de l'Echappée,44200,Nantes,47.203761224,-1.548040303,http://www.jardins.nantes.fr,Wattignies Ligne 2,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
3212,Square Faustin Hélie,Parc,Rue Faustin Hélie,44000,Nantes,47.218059262,-1.563925558,http://www.jardins.nantes.fr,Ligne 54 St Nicolas,,NON,OUI,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
1440,Parc de Beaulieu,Parc,Cours de la Prairie d'Amont,44200,Nantes,47.212430799,-1.520734077,http://www.jardins.nantes.fr,Hôtel de région bus 26,,NON,OUI,NON,NON,OUI,OUI,NON,OUI,OUI,OUI,,,,,,,
4585,Square Zac Pilleux Nord,Parc,Boulevard Benoit Frachon,44100,Nantes,47.207636895,-1.580369213,http://www.jardins.nantes.fr,Ligne 1 Du Chauffault,,,,,,,,,,,,,,,,,,
1520,Square des Combattants d'Afrique du Nord,Parc,Rue de la Brasserie,44100,Nantes,47.209235504,-1.570756744,http://www.jardins.nantes.fr,René Bouhier Ligne 11,,NON,OUI,NON,NON,OUI,NON,OUI,NON,NON,NON,,,,,,,
1530,Square Maurice Schwob,Parc,3 Rue des Garennes,44100,Nantes,47.201151879,-1.581174398,http://www.jardins.nantes.fr,Ligne 26 St Nicolas/ Ligne C1 Lusanças,,NON,OUI,NON,OUI,NON,NON,OUI,NON,OUI,NON,,,,,,,
3204,Parc des Dervallières,Parc,Rue Louis Le Nain,44100,Nantes,47.224961238,-1.595048712,http://www.jardins.nantes.fr,Ligne 54 Grand Carcouet; Ligne 25 Le nain,,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
4958,Pataugeoire du Clos-Toreau,Parc,Rue de Saint Jean de Luz,44200,Nantes,47.194722218,-1.528038361,,,,,,,,,,,,,,,,,,,,
4415,Jardin des Fonderies,Parc,Rue Louis Joxe,44200,Nantes,47.205629815,-1.544842016,http://www.jardins.nantes.fr,Lignes 2 3 Wattignies,,NON,OUI,NON,NON,NON,OUI,NON,OUI,NON,NON,,,,,,,
4605,Jardin des Quatre Jeudis,Parc,Passage des Tauzins,44300,Nantes,47.265744568,-1.520213888,http://www.jardins.nantes.fr,Ligne 2 Place du Cirque / Ligne C6 Portricq,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
1016,Jardin des Plantes,Parc,Rue Stanislas Baudry,44000,Nantes,47.219670206,-1.543081259,http://www.jardins.nantes.fr,Gare SNCF Lignes 1,Camelia, Epiphytes, Cactées,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,NON,,,,,
4607,Square Barbara,Parc,Rue de la Grange au Loup,44300,Nantes,47.266083044,-1.523076419,http://www.jardins.nantes.fr,Ligne 2 Place du Cirque / Ligne C6 Portricq,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4575,Cours Cambrone,Parc,Cours Cambronne,44000,Nantes,47.211941697,-1.563188661,http://www.jardins.nantes.fr,Ligne 1 Médiathèque,,NON,NON,NON,OUI,NON,OUI,OUI,NON,NON,NON,,,,,,,
1514,Square Augustin Fresnel,Parc,Rue Augustin Fresnel,44300,Nantes,47.242997471,-1.522931446,http://www.jardins.nantes.fr,Fresnel Ligne 21 11,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
3205,Square du Prinquiau,Parc,Rue du Prinquiau,44100,Nantes,47.212158424,-1.587094454,http://www.jardins.nantes.fr,Conventions Lignes 11 70,,NON,OUI,NON,NON,OUI,NON,OUI,NON,NON,OUI,,,,,,,
1021,Parc de la Gaudinière,Parc,227 Boulevard Robert Schuman,44300,Nantes,47.244330315,-1.578662782,http://www.jardins.nantes.fr,Ligne C2 Berlioz,112 espèces de Rhododendrons et 47 de Camellia,OUI,OUI,NON,OUI,OUI,OUI,OUI,NON,OUI,NON,,,,,,,
4584,Square Canclaux,Parc,Place Canclaux,44100,Nantes,47.214407035,-1.574481754,http://www.jardins.nantes.fr,Canclaux Lignes 21 23 24 H,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
2372,Parc Floral de la Beaujoire,Parc,Route de Saint Joseph,44300,Nantes,47.262171049,-1.533059502,http://www.jardins.nantes.fr,Ligne 1 Beaujoire,Magnolias, Iris, Bruyères, Vivaces, Rosiers,OUI,OUI,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,,,
1531,Square Pascal Lebée,Parc,Rue Dugommier,44000,Nantes,47.21610711,-1.563502501,http://www.jardins.nantes.fr,Delorme Ligne 22 51 54 F,,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,NON,,,,,,,
4596,Parc des Chantiers,Parc,Boulevard Léon Bureau,44200,Nantes,47.206784284,-1.566216173,,Ligne 1 Chantiers Navals,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,OUI,,,,,,,
1517,Square Commandant Aubin,Parc,Quai du Marquis d'Aiguillon,44100,Nantes,47.201897707,-1.576891896,http://www.jardins.nantes.fr,,,,,,,,,,,,,,,,,,,
3220,Parc de Broussais,Parc,Boulevard Louis Millet,44300,Nantes,47.22660635,-1.521853047,http://www.jardins.nantes.fr,Toutes Aides Lignes 12 70 ; Mairie de Doulon Ligne 1,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
1529,Square Marcel Launay,Parc,Boulevard Général de Gaulle,44200,Nantes,47.203698082,-1.535919984,http://www.jardins.nantes.fr,Ile de Nantes Ligne 4,,NON,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
1018,Parc de Malakoff,Parc,Rue de la Révolution des Oeillets,44000,Nantes,47.21851405,-1.517565068,http://www.jardins.nantes.fr,Bus C3 Arrêt La Roche,,NON,NON,NON,NON,OUI,OUI,NON,NON,OUI,NON,,,,,,,
4576,Douves du Chateau des Ducs,Parc,Rue des Etats,44000,Nantes,47.215616856,-1.550132735,http://www.jardins.nantes.fr,Bouffay Ligne 1,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4588,Jardin des Nectars,Parc,Petite Avenue de Longchamp,44300,Nantes,47.238068534,-1.58261936,http://www.jardins.nantes.fr,Ligne 3 Beauséjour,,NON,OUI,NON,NON,OUI,NON,OUI,NON,OUI,OUI,,,,,,,
1019,Parc de Procé,Parc,Boulevard des Anglais,44000,Nantes,47.223927005,-1.582527609,http://www.jardins.nantes.fr,Ligne C3 Procé,Collections : Bruyères, Rhododendrons, Magnolias, Andromèdes, Lis, Fuchsias, Dahlias,  Vivaces,OUI,OUI,NON,OUI,OUI,NON,OUI,NON,OUI,NON
3223,Parc Say,Parc,Rue Désiré Colombe,44100,Nantes,47.212500458,-1.568438115,http://www.jardins.nantes.fr,Jean V Ligne 11,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4476,Jardin Confluent,Parc,Rue Dos d'Ane,44200,Nantes,47.196736189,-1.545225657,http://www.jardins.nantes.fr,Arrêt Pirmil Lignes 2 3,Ouvert 24h/24,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
1025,Square Elisa Mercoeur,Parc,1 Cours Commandant d'Estienne d'Orves,44000,Nantes,47.214355669,-1.55106917,http://www.jardins.nantes.fr,Bouffay Ligne 1,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4542,Le Parc des Oblates,Parc,Rue de la Brianderie,44100,Nantes,47.200407872,-1.585057154,http://www.jardins.nantes.fr,Ligne 54 St Nicolas ; Ligne C1 Hérelle,,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,,,,,,,
3207,Square du Bois de la Musse,Parc,Rue Etienne Coutan,44100,Nantes,47.204560257,-1.610527809,http://www.jardins.nantes.fr,Bernanos Lignes 25 H 74 ou ligne 1 Romain Rolland,,NON,NON,NON,NON,NON,OUI,NON,NON,NON,NON,,,,,,,
4582,Square des Courtils,Parc,Rue des Courtils,44100,Nantes,47.200438175,-1.593339276,http://www.jardins.nantes.fr,Ligne 1 Gare maritime et ligne 81 Gare de Chantenay,,NON,OUI,NON,NON,OUI,OUI,NON,NON,NON,NON,,,,,,,
